SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
000038.65+011426.3 1.8352 20.760 0.085 20.394 0.025 20.581 0.037 20.050 0.041 19.759 0.104  0.000 -9.000 -25.171
000038.99-001803.9 2.1224 19.204 0.044 19.076 0.022 18.886 0.017 18.894 0.018 18.794 0.044  0.000 -9.000 -26.673
000041.58+010545.5 1.5452 20.596 0.074 20.401 0.035 20.367 0.032 20.147 0.043 19.981 0.122  0.000 -9.000 -24.669
000042.02-004501.3 1.3077 20.167 0.067 20.387 0.043 20.074 0.029 19.963 0.033 20.188 0.140  0.000 -9.000 -24.504
000042.89+005539.5 0.9512 18.353 0.037 18.150 0.015 17.941 0.011 17.899 0.021 17.802 0.024  0.000 -9.000 -25.763
000043.70-001346.2 2.1938 21.654 0.176 20.918 0.037 20.414 0.034 20.195 0.038 19.564 0.082  0.000 -9.000 -25.447
000043.95-091134.9 0.4388 19.055 0.038 18.724 0.033 18.576 0.020 18.370 0.025 18.151 0.029  0.000 -9.000 -23.432
000046.15-003007.1 1.4354 19.881 0.055 19.666 0.022 19.507 0.027 19.515 0.027 19.450 0.073  0.000 -9.000 -25.160
000046.41+011420.8 3.7592 26.057 0.646 21.395 0.051 20.013 0.027 19.753 0.035 19.428 0.078  0.000 -9.000 -27.073
000049.46-100043.8 1.1375 21.713 0.198 21.082 0.052 20.484 0.033 20.345 0.044 19.771 0.112  0.000 -9.000 -23.763
000050.60-102155.9 2.6402 19.454 0.046 18.422 0.020 18.392 0.025 18.309 0.025 17.937 0.029 13.147 -9.000 -27.765
000051.56+001202.5 3.8806 26.126 0.652 22.160 0.092 20.368 0.032 20.056 0.038 19.642 0.100 15.240 -9.000 -26.851
000053.09-003712.8 1.3201 18.935 0.040 18.670 0.020 18.583 0.024 18.597 0.023 18.654 0.041  0.000 -9.000 -25.879
000053.17-001732.9 2.7563 20.707 0.086 19.663 0.024 19.610 0.021 19.705 0.027 19.529 0.080  0.000 -9.000 -26.451
000053.71+150637.1 1.4111 19.992 0.042 19.681 0.017 19.290 0.018 19.077 0.021 19.083 0.056 -1.000 -9.000 -25.559
000054.01+005503.0 1.1814 20.226 0.067 19.857 0.021 19.586 0.019 19.472 0.030 19.448 0.079  0.000 -9.000 -24.713
000054.96+010143.4 1.4622 19.976 0.059 19.743 0.020 19.419 0.018 19.201 0.028 19.215 0.067 15.078 -9.000 -25.487
000056.89-010409.7 2.1065 20.502 0.070 20.186 0.034 19.632 0.022 19.279 0.029 18.842 0.050  0.000 -9.000 -26.287
000057.58+010658.6 2.5538 20.711 0.083 20.147 0.033 20.033 0.027 20.015 0.039 19.801 0.104  0.000 -9.000 -25.957
000057.67-085617.0 1.0948 18.663 0.021 18.527 0.017 18.266 0.017 18.180 0.017 18.092 0.032  0.000 -9.000 -25.840
000058.22-004646.5 1.8951 18.847 0.034 18.909 0.037 18.924 0.018 18.594 0.017 18.482 0.038  0.000 -9.000 -26.732
000058.77+003510.5 1.6547 20.208 0.054 19.831 0.026 19.339 0.018 18.878 0.024 18.798 0.045  0.000 -9.000 -26.098
000102.18-102326.9 0.2943 18.984 0.033 18.690 0.022 18.326 0.014 18.240 0.016 17.660 0.023  0.000 -1.547 -22.615
000103.85-104630.3 2.0808 18.717 0.031 18.513 0.018 18.408 0.018 18.145 0.015 17.955 0.028  0.000 -9.000 -27.381
000104.52+002753.8 0.5517 20.690 0.075 20.208 0.032 20.291 0.030 20.086 0.039 19.897 0.108  0.000 -9.000 -22.250
000104.92+160101.2 0.4529 19.886 0.044 19.571 0.020 19.256 0.016 18.975 0.021 18.750 0.040 -1.000 -9.000 -22.904
000107.52+004113.1 1.3988 20.213 0.051 20.105 0.030 19.815 0.027 19.666 0.034 19.749 0.088  0.000 -9.000 -24.917
000109.12-004121.6 0.4166 19.377 0.036 19.142 0.034 18.955 0.034 18.859 0.020 18.617 0.040  0.000 -9.000 -22.824
000110.97-105247.4 0.5283 17.995 0.022 17.655 0.026 17.639 0.016 17.485 0.025 17.516 0.028  0.000 -9.000 -24.764
000111.19-002011.5 0.5178 19.265 0.041 18.729 0.019 18.603 0.020 18.308 0.017 18.234 0.033 12.983 -9.000 -23.894
000112.43-000029.2 1.4186 20.559 0.075 20.718 0.037 20.413 0.032 20.291 0.037 20.237 0.142  0.000 -9.000 -24.335
000116.00+141123.0 0.4037 19.007 0.026 18.682 0.021 18.704 0.016 18.556 0.021 18.156 0.029 -1.000 -9.000 -23.089
000118.40-010221.8 1.9685 19.911 0.055 19.900 0.026 19.756 0.025 19.459 0.025 19.337 0.074  0.000 -9.000 -25.950
000118.69+003314.1 1.4003 20.712 0.075 20.488 0.036 20.344 0.032 20.295 0.045 20.317 0.155  0.000 -9.000 -24.289
000119.44-011234.3 2.2135 20.591 0.073 20.111 0.027 19.959 0.029 19.707 0.033 19.410 0.075  0.000 -9.000 -25.973
000119.50+001038.0 1.6199 20.892 0.102 20.554 0.028 20.431 0.035 20.199 0.042 20.099 0.152  0.000 -9.000 -24.735
000119.64+154828.8 1.9242 19.661 0.038 19.555 0.019 19.301 0.024 19.016 0.019 18.826 0.044 -1.000 -9.000 -26.345
000120.23-111104.2 1.4131 19.364 0.039 19.610 0.031 19.306 0.019 19.244 0.029 19.258 0.072  0.000 -9.000 -25.385
000123.96-102458.1 1.0575 18.524 0.027 18.435 0.021 18.223 0.014 18.290 0.016 18.214 0.031  0.000 -9.000 -25.663
000124.23-093349.8 1.6337 19.629 0.048 19.334 0.025 19.289 0.020 19.029 0.019 18.924 0.063  0.000 -9.000 -25.948
000125.14+000009.4 1.9737 19.969 0.050 19.823 0.020 19.662 0.024 19.412 0.028 19.224 0.074  0.000 -9.000 -25.985
000127.79-002756.0 1.3368 20.370 0.072 20.268 0.037 19.993 0.028 19.882 0.035 19.920 0.102  0.000 -9.000 -24.613
000131.42+144610.6 0.5304 19.281 0.026 19.010 0.024 19.062 0.014 18.869 0.020 18.841 0.046 -1.000 -9.000 -23.410
000132.83+145608.0 0.3989 19.223 0.026 19.197 0.024 19.249 0.015 19.038 0.020 18.393 0.035 -1.000 -1.412 -22.550
000135.51-004206.7 3.5779 23.681 1.152 20.453 0.041 19.488 0.036 19.376 0.023 19.434 0.074  0.000 -9.000 -27.364
000139.42+152624.1 1.7897 18.889 0.024 18.751 0.015 18.469 0.019 18.103 0.018 18.192 0.031 -1.000 -9.000 -27.092
000139.64-103824.1 1.8206 19.722 0.046 19.723 0.023 19.653 0.024 19.284 0.022 19.441 0.079  0.000 -9.000 -25.940
000139.83-003713.5 1.8331 19.459 0.040 19.408 0.034 19.475 0.023 19.234 0.029 19.221 0.057  0.000 -9.000 -26.010
000141.43+002356.3 0.9347 19.289 0.035 19.031 0.024 18.865 0.015 18.943 0.027 18.890 0.051  0.000 -9.000 -24.685
000143.31-104448.8 1.3405 19.585 0.039 19.568 0.020 19.269 0.021 19.244 0.023 19.285 0.070  0.000 -9.000 -25.260
000143.41+152021.4 2.6382 19.843 0.038 19.233 0.017 19.028 0.016 18.947 0.019 18.857 0.050 -1.000 -9.000 -27.128
000149.33+005731.6 1.2049 20.672 0.086 20.474 0.036 20.193 0.030 20.251 0.043 20.183 0.152  0.000 -9.000 -23.976
000149.52-100251.7 0.3577 19.259 0.038 19.214 0.036 19.101 0.023 19.041 0.035 18.489 0.043  0.000 -9.000 -22.279
000154.89-002209.0 1.1661 19.343 0.034 19.209 0.022 19.011 0.022 19.002 0.021 19.057 0.055  0.000 -9.000 -25.161
000159.12-094712.5 2.3084 19.835 0.043 19.323 0.025 19.275 0.025 19.167 0.023 18.904 0.060  0.000 -9.000 -26.606
000159.56+135933.4 1.2721 19.503 0.029 19.341 0.017 19.086 0.018 19.068 0.022 19.131 0.053 -1.000 -9.000 -25.367
000201.99+004540.5 1.4364 19.695 0.042 19.455 0.023 19.164 0.031 19.054 0.021 19.139 0.050  0.000 -9.000 -25.592
000202.33-002648.4 2.2124 20.822 0.103 20.435 0.028 20.174 0.033 20.093 0.034 19.871 0.091  0.000 -9.000 -25.564
000205.45-104936.9 0.9299 18.134 0.025 17.927 0.022 17.820 0.025 17.921 0.021 17.781 0.029  0.000 -9.000 -25.707
000208.83-001742.6 0.6519 19.191 0.031 18.928 0.022 18.832 0.022 18.702 0.019 18.732 0.043  0.000 -9.000 -24.049
000209.05+000552.8 2.1463 21.078 0.156 21.146 0.043 21.176 0.056 20.893 0.064 20.682 0.251  0.000 -9.000 -24.691
000210.11-005730.9 1.9629 20.136 0.049 20.201 0.025 20.204 0.028 20.145 0.041 19.965 0.108  0.000 -9.000 -25.247
000212.07-005309.1 2.2124 20.233 0.053 19.698 0.020 19.507 0.021 19.462 0.028 19.351 0.065  0.000 -9.000 -26.202
000215.09-002358.8 1.4496 20.706 0.080 20.497 0.039 20.347 0.035 20.262 0.039 20.421 0.174  0.000 -9.000 -24.416
000216.62+134916.3 1.2716 19.484 0.035 19.391 0.025 18.925 0.015 18.881 0.023 18.978 0.047 -1.000 -9.000 -25.556
000219.11+002232.9 0.5470 20.404 0.067 19.741 0.023 19.556 0.025 19.222 0.022 19.152 0.062  0.000 -9.000 -23.102
000219.34-105259.6 1.7620 22.033 0.281 21.199 0.058 20.677 0.045 19.986 0.039 20.045 0.153  0.000 -9.000 -25.165
000220.09-005222.9 2.2350 21.233 0.117 20.655 0.032 20.412 0.031 19.983 0.037 19.685 0.083  0.000 -9.000 -25.706
000220.76-104248.5 1.0164 19.185 0.029 18.992 0.025 18.742 0.020 18.866 0.023 18.843 0.049  0.000 -9.000 -24.971
000221.11+002149.3 3.0570 20.257 0.060 19.110 0.022 18.849 0.022 18.726 0.019 18.830 0.049 13.627 -9.000 -27.652
000221.80+151454.5 1.8235 18.970 0.025 18.852 0.013 18.810 0.017 18.518 0.020 18.403 0.038 -1.000 -9.000 -26.723
000222.47-000443.5 0.8104 18.960 0.041 18.378 0.020 18.231 0.025 18.169 0.014 17.933 0.026 14.834 -9.000 -25.113
000226.10+000549.1 1.6512 18.969 0.036 18.713 0.019 18.682 0.014 18.448 0.015 18.466 0.040  0.000 -9.000 -26.533
000230.71+004959.0 1.3527 19.075 0.037 18.683 0.020 18.123 0.026 17.963 0.013 17.988 0.024  0.000 -9.000 -26.539
000230.94-000616.5 1.3366 19.781 0.055 19.784 0.061 19.357 0.179 19.346 0.147 19.426 0.071  0.000 -9.000 -25.142
000232.32-002029.8 2.1851 20.535 0.070 20.084 0.035 19.982 0.029 20.007 0.033 19.734 0.094  0.000 -9.000 -25.624
000238.41-101149.8 3.9406 25.950 0.743 21.793 0.070 20.248 0.031 20.045 0.046 19.854 0.110  0.000 -9.000 -26.910
000240.44-004033.1 0.7061 20.813 0.110 20.373 0.030 20.256 0.035 20.498 0.047 19.994 0.115  0.000 -9.000 -22.447
000246.18+155955.8 0.3740 19.529 0.033 19.305 0.018 19.222 0.015 19.186 0.025 18.579 0.040 -1.000 -9.000 -22.245
000246.47-000615.4 1.7127 20.978 0.094 20.362 0.028 20.149 0.029 19.860 0.032 19.734 0.089  0.000 -9.000 -25.213
000248.92+005648.2 1.2936 20.639 0.085 20.574 0.035 20.157 0.030 20.078 0.039 20.300 0.170  0.000 -9.000 -24.321
000252.72-000331.0 3.6829 24.927 1.054 21.723 0.058 20.640 0.038 20.519 0.051 20.422 0.158 16.004 -9.000 -26.272
000253.21-090700.1 0.4597 19.838 0.044 19.420 0.019 19.245 0.023 19.065 0.025 18.881 0.055  0.000 -9.000 -22.851
000253.25-085530.9 0.8497 19.465 0.034 19.156 0.018 19.079 0.023 19.100 0.026 18.881 0.058  0.000 -9.000 -24.296
000257.36-090015.0 0.5166 20.210 0.058 19.620 0.020 19.416 0.024 19.135 0.026 18.897 0.058  0.000 -9.000 -23.054
000300.35+160027.6 3.6754 24.073 1.034 20.853 0.033 19.677 0.019 19.582 0.029 19.318 0.070 -1.000 -9.000 -27.228
000303.32+001019.6 1.5221 21.302 0.142 21.138 0.046 20.855 0.041 20.504 0.048 21.589 0.546  0.000 -9.000 -24.290
000303.35-105150.6 3.6467 25.821 0.908 20.490 0.038 19.312 0.024 19.251 0.023 19.000 0.061  0.000 -9.000 -27.533
000306.24-004930.4 1.0506 20.225 0.066 20.145 0.037 20.010 0.030 20.006 0.034 19.910 0.114  0.000 -9.000 -23.912
000309.80-004238.2 1.3966 19.928 0.054 19.689 0.034 19.302 0.024 19.215 0.023 19.095 0.055  0.000 -9.000 -25.377
000315.27+000221.1 1.5293 20.329 0.066 20.186 0.035 20.020 0.023 19.781 0.030 19.770 0.116  0.000 -9.000 -25.019
000316.00-095951.7 1.4284 19.701 0.045 19.696 0.021 19.467 0.022 19.262 0.028 19.326 0.079  0.000 -9.000 -25.389
000316.31-002148.8 0.5191 21.409 0.138 20.831 0.037 20.461 0.034 20.054 0.036 20.007 0.121  0.000 -9.000 -22.152
000316.38-000732.4 3.1795 21.611 0.149 20.254 0.027 20.057 0.029 20.079 0.036 19.987 0.105  0.000 -9.000 -26.392
000319.86-090156.2 1.7602 17.856 0.021 17.740 0.018 17.739 0.019 17.525 0.017 17.462 0.026  0.000 -9.000 -27.620
000322.60-002941.1 0.6510 20.185 0.059 19.875 0.025 19.742 0.029 19.614 0.025 19.626 0.077  0.000 -9.000 -23.139
000326.67+001157.1 1.8518 19.516 0.038 19.429 0.026 19.324 0.019 19.041 0.030 19.211 0.072  0.000 -9.000 -26.205
000330.19+000813.2 2.5680 19.798 0.045 19.006 0.025 18.869 0.018 18.874 0.029 18.761 0.049  0.000 -9.000 -27.114
000333.26-004443.2 0.6591 21.739 0.228 20.839 0.045 20.548 0.041 20.253 0.042 19.869 0.105  0.000 -9.000 -22.534
000334.10+152753.8 0.9007 19.619 0.032 19.228 0.016 19.044 0.018 19.082 0.021 18.891 0.044 -1.000 -9.000 -24.490
000335.20+144743.6 3.4841 24.442 0.853 21.187 0.051 20.243 0.028 20.072 0.032 19.994 0.108 -1.000 -9.000 -26.668
000338.57+000432.0 2.0928 19.830 0.046 19.756 0.027 19.755 0.023 19.690 0.035 19.378 0.080  0.000 -9.000 -25.834
000339.11+011019.6 1.6970 20.766 0.082 20.305 0.033 20.151 0.029 19.704 0.031 19.890 0.099  0.000 -9.000 -25.344
000341.21-094101.0 1.7391 20.205 0.065 19.984 0.029 19.955 0.024 19.755 0.031 19.602 0.110  0.000 -9.000 -25.350
000342.08+153628.7 1.5682 19.646 0.032 19.374 0.022 19.235 0.020 18.990 0.018 18.895 0.045 -1.000 -9.000 -25.912
000345.23-110818.5 1.5698 20.162 0.055 19.972 0.034 19.624 0.026 19.362 0.024 19.433 0.078  0.000 -1.735 -25.512
000347.20+005344.7 0.5785 20.692 0.089 20.423 0.042 20.478 0.037 20.031 0.041 19.585 0.089  0.000 -9.000 -22.431
000348.46-004355.3 0.8981 20.453 0.078 20.201 0.038 20.000 0.032 20.068 0.038 19.775 0.096  0.000 -9.000 -23.467
000355.49+000736.4 1.0274 19.916 0.049 19.813 0.028 19.564 0.021 19.555 0.034 19.728 0.105  0.000 -9.000 -24.292
000356.56-010131.6 0.9103 20.105 0.046 19.889 0.029 19.706 0.025 19.743 0.030 19.423 0.069  0.000 -9.000 -23.821
000403.80-004117.2 1.9404 20.799 0.105 20.669 0.046 20.576 0.039 20.471 0.048 20.165 0.132  0.000 -9.000 -24.889
000405.39-004809.9 1.0845 21.868 0.253 21.613 0.071 21.017 0.054 20.853 0.064 20.368 0.158 15.786 -9.000 -23.139
000405.44+141951.9 0.7917 19.757 0.041 19.407 0.018 19.189 0.015 19.139 0.018 18.962 0.048 -1.000 -9.000 -24.272
000406.37-103815.2 1.2686 19.236 0.042 19.165 0.019 19.014 0.025 19.012 0.018 19.085 0.056  0.000 -9.000 -25.361
000410.80-104527.1 0.2397 18.131 0.025 17.944 0.020 17.680 0.027 17.533 0.013 17.431 0.021  0.000 -1.352 -22.827
000413.56-004617.2 1.2841 20.106 0.060 19.766 0.038 19.513 0.023 19.461 0.028 19.332 0.070  0.000 -9.000 -24.934
000413.64-085529.6 2.4237 18.843 0.042 18.223 0.017 18.142 0.017 18.078 0.016 17.854 0.028  0.000 -9.000 -27.790
000416.46-005300.6 2.0201 19.660 0.033 19.583 0.030 19.643 0.023 19.435 0.027 19.296 0.057  0.000 -9.000 -26.023
000417.04+160554.0 0.4762 20.447 0.060 19.979 0.024 19.586 0.018 19.182 0.020 18.947 0.049 -1.000 -9.000 -22.828
000419.47-110536.0 1.2395 19.015 0.024 18.935 0.030 18.762 0.024 18.915 0.026 19.060 0.055  0.000 -9.000 -25.396
000421.02-003403.1 1.4603 19.129 0.034 18.951 0.024 18.836 0.018 18.687 0.020 18.743 0.038  0.000 -9.000 -26.007
000421.84+005743.6 0.7867 20.790 0.097 20.183 0.040 19.849 0.024 19.818 0.037 19.430 0.078  0.000 -9.000 -23.399
000422.29-090219.4 1.8588 18.456 0.032 18.424 0.022 18.462 0.016 18.218 0.020 18.063 0.039  0.000 -9.000 -27.049
000424.16-085048.0 2.4329 19.021 0.044 18.626 0.018 18.617 0.018 18.560 0.018 18.342 0.038  0.000 -9.000 -27.313
000429.18+003547.9 1.3021 21.293 0.118 20.879 0.041 20.429 0.032 20.226 0.046 20.387 0.160  0.000 -9.000 -24.238
000429.47-002142.7 0.6143 20.495 0.068 19.912 0.035 19.676 0.021 19.386 0.026 19.318 0.069  0.000 -9.000 -23.216
000431.05-100913.8 0.4521 19.812 0.048 19.089 0.028 18.875 0.023 18.605 0.027 18.329 0.038  0.000 -1.551 -23.269
000431.88+003155.1 1.4442 20.241 0.053 20.023 0.029 19.785 0.021 19.565 0.031 19.560 0.078  0.000 -9.000 -25.168
000433.93-004844.7 1.2946 20.617 0.087 20.030 0.040 19.328 0.022 19.052 0.025 19.087 0.060  0.000 -9.000 -25.364
000434.01-100452.4 1.0197 18.648 0.026 18.443 0.021 18.219 0.016 18.369 0.022 18.351 0.038  0.000 -9.000 -25.476
000435.75-011318.6 0.5074 19.094 0.029 18.856 0.024 18.892 0.019 18.697 0.022 18.643 0.048  0.000 -9.000 -23.442
000437.23+151028.3 3.1992 24.884 1.013 21.282 0.038 20.387 0.029 20.279 0.037 19.863 0.113 -1.000 -9.000 -26.238
000439.25-003145.5 1.8535 19.854 0.047 19.821 0.026 19.767 0.024 19.517 0.024 19.415 0.060  0.000 -9.000 -25.738
000439.97-000146.4 0.5827 20.890 0.083 20.458 0.032 20.128 0.034 19.881 0.032 19.687 0.075  0.000 -9.000 -22.608
000442.03+003021.0 1.7682 20.781 0.081 20.394 0.031 20.400 0.031 19.992 0.040 19.783 0.094  0.000 -9.000 -25.219
000442.18+000023.3 1.0077 19.544 0.041 19.265 0.030 18.958 0.023 19.100 0.025 19.142 0.068 14.868 -9.000 -24.719
000444.23+010036.4 1.4297 20.168 0.060 20.141 0.029 19.849 0.024 19.728 0.034 20.090 0.196  0.000 -9.000 -24.920
000445.71+002245.0 0.4966 19.905 0.045 19.451 0.020 19.417 0.019 19.212 0.024 19.040 0.052  0.000 -9.000 -22.920
000446.18-000313.6 1.6027 20.828 0.077 20.417 0.031 20.256 0.036 20.112 0.036 20.127 0.107  0.000 -9.000 -24.812
000447.79-104855.2 0.8845 19.542 0.037 19.046 0.054 18.983 0.018 19.035 0.018 18.937 0.052  0.000 -9.000 -24.470
000448.08-002321.7 1.7257 19.894 0.046 19.757 0.022 19.763 0.022 19.463 0.029 19.495 0.079  0.000 -9.000 -25.620
000448.40-100153.5 0.8884 19.693 0.043 19.181 0.023 19.137 0.019 19.229 0.026 19.028 0.060  0.000 -9.000 -24.283
000451.78+011239.9 1.5513 20.500 0.063 20.412 0.028 20.158 0.039 19.860 0.034 19.846 0.095  0.000 -9.000 -24.971
000451.86-001203.7 1.0278 19.254 0.037 19.229 0.025 19.043 0.021 19.143 0.022 19.113 0.052  0.000 -9.000 -24.711
000453.25-003531.0 1.5709 20.749 0.086 20.555 0.039 20.472 0.036 20.220 0.052 20.231 0.121  0.000 -9.000 -24.651
000454.57-104230.1 1.1279 19.231 0.033 18.771 0.054 18.413 0.016 18.442 0.014 18.315 0.037  0.000 -9.000 -25.651
000455.44-110637.9 1.1183 19.129 0.025 18.882 0.022 18.501 0.021 18.586 0.019 18.529 0.036  0.000 -9.000 -25.478
000456.17+000645.5 1.0412 20.705 0.083 20.256 0.035 19.813 0.027 19.688 0.031 19.726 0.105  0.000 -9.000 -24.194
000457.90+002534.6 1.7023 20.870 0.085 20.690 0.035 20.581 0.033 20.273 0.047 20.486 0.163  0.000 -9.000 -24.861
000458.61+005457.5 1.2084 20.628 0.083 20.457 0.032 20.214 0.028 20.099 0.042 20.331 0.166  0.000 -9.000 -24.146
000459.58+160225.0 1.1480 19.541 0.034 19.321 0.024 19.097 0.018 19.071 0.022 19.030 0.055 -1.000 -9.000 -25.073
000500.42-003348.2 2.1733 19.188 0.041 18.936 0.032 18.744 0.023 18.590 0.024 18.353 0.031  0.000 -9.000 -27.035
000500.54+010220.8 2.1189 18.634 0.027 18.365 0.022 18.252 0.015 18.162 0.021 18.043 0.036  0.000 -9.000 -27.393
000500.84+010303.4 1.6292 19.441 0.033 19.168 0.021 19.049 0.032 18.760 0.019 18.610 0.037  0.000 -9.000 -26.187
000505.45-000210.8 1.8281 20.502 0.062 20.238 0.029 20.164 0.029 19.822 0.029 19.820 0.086  0.000 -9.000 -25.408
000507.05-101008.7 1.2954 19.215 0.033 19.323 0.023 18.897 0.018 18.879 0.024 18.937 0.057 11.611 -9.000 -25.544
000508.37+010806.4 1.3094 20.556 0.064 20.565 0.029 20.149 0.039 20.060 0.038 20.116 0.118  0.000 -9.000 -24.370
000508.85+002608.3 0.6686 20.633 0.079 19.943 0.064 19.862 0.132 19.841 0.185 19.746 0.245  0.000 -9.000 -23.064
000510.83-092534.9 1.8665 19.447 0.031 19.589 0.025 19.664 0.035 19.125 0.023 19.107 0.055  0.000 -9.000 -26.159
000510.88-091400.0 1.5438 19.634 0.044 19.308 0.026 19.115 0.027 18.922 0.023 18.907 0.051  0.000 -9.000 -25.927
000512.11+001313.2 1.2745 20.331 0.055 20.145 0.025 19.838 0.023 19.659 0.029 19.604 0.087  0.000 -9.000 -24.707
000512.18+000802.9 1.1208 20.980 0.111 20.811 0.042 20.379 0.035 20.321 0.044 20.280 0.170  0.000 -9.000 -23.734
000515.93-003730.7 0.4764 21.197 0.118 20.847 0.042 20.456 0.034 19.900 0.033 19.722 0.082  0.000 -9.000 -22.099
000519.39+144422.6 0.8582 18.476 0.023 18.134 0.016 17.903 0.015 17.875 0.018 17.683 0.028 -1.000 -9.000 -25.619
000520.99-001948.3 1.0423 20.548 0.070 20.546 0.033 20.245 0.027 20.207 0.038 20.031 0.122  0.000 -9.000 -23.684
000524.82-084502.8 1.0674 18.919 0.031 18.807 0.019 18.620 0.021 18.681 0.024 18.674 0.064  0.000 -9.000 -25.273
000525.12+001745.2 1.0285 19.745 0.037 19.613 0.023 19.476 0.020 19.511 0.028 19.365 0.073  0.000 -9.000 -24.383
000527.52-000556.2 0.6125 20.098 0.046 19.722 0.025 19.784 0.031 19.485 0.023 19.541 0.069  0.000 -9.000 -23.121
000529.13-005001.6 2.1150 20.152 0.058 20.088 0.032 20.001 0.035 19.943 0.039 19.935 0.113  0.000 -9.000 -25.615
000530.14-002356.2 1.0605 20.862 0.088 20.514 0.032 20.077 0.024 20.077 0.035 19.887 0.109  0.000 -9.000 -23.861
000530.66+010233.3 0.6341 19.495 0.046 19.364 0.026 19.351 0.021 19.275 0.032 19.262 0.071  0.000 -9.000 -23.409
000531.06+000951.0 0.9406 19.662 0.041 19.242 0.022 18.895 0.018 18.845 0.030 18.778 0.054  0.000 -9.000 -24.796
000531.41+001455.9 0.9916 21.118 0.095 20.536 0.025 19.985 0.029 19.842 0.036 19.494 0.079  0.000 -9.000 -23.941
000535.23+000021.4 0.7358 21.049 0.114 20.655 0.033 20.575 0.035 20.507 0.053 20.034 0.150  0.000 -9.000 -22.544
000536.38+135949.4 3.6864 24.884 0.969 20.916 0.039 19.758 0.027 19.609 0.030 19.378 0.066 -1.000 -9.000 -27.377
000539.29-010243.8 0.8663 20.285 0.047 19.902 0.025 19.784 0.029 19.863 0.036 19.724 0.088  0.000 -9.000 -23.585
000541.88-010411.0 2.1178 19.949 0.044 19.680 0.038 19.499 0.028 19.455 0.028 19.280 0.068  0.000 -9.000 -26.109
000544.72-005706.6 2.1113 20.496 0.057 20.337 0.029 20.055 0.031 20.000 0.037 19.857 0.099  0.000 -9.000 -25.552
